"01p07nea","06p07nea","94p07nea"
0.034682289,-0.028310716,-0.618903637
-0.094636202,-0.270477295,-0.751918197
-0.098469257,-0.437416732,-0.727281451
0.003225699,-0.409067154,-0.536883712
0.125800133,-0.229315996,-0.161224484
0.209643781,0.091238558,0.160159826
0.169367909,0.383019507,0.535168409
0.046252839,0.547240317,0.679630876
-0.079557955,0.590747178,0.67380178
-0.126361132,0.492484272,0.406371832
-0.063044429,0.369730234,-0.008280102
0.041799713,0.18864131,-0.313373685
0.07160306,0.020751998,-0.481951952
0.008043602,-0.091043234,-0.344857097
-0.120803058,-0.133161306,-0.085896015
-0.189449728,-0.075518429,0.181156874
-0.134855568,0.007043615,0.377252102
0.005292036,0.114846528,0.399716675
0.162484884,0.202550948,0.319761872
0.222020209,0.208063245,0.164635658
0.188547194,0.109560072,-0.00283815
0.033331171,-0.124029219,-0.134793222
-0.143420815,-0.387087226,-0.286927104
-0.26776731,-0.557788134,-0.336061716
-0.307371855,-0.634570062,-0.33156532
-0.228202283,-0.552898765,-0.222019792
-0.127083302,-0.446915805,-0.071593106
-0.004775062,-0.249575198,0.03586705
0.059656329,-0.069901466,0.121801496
0.072900772,0.070547879,0.101163089
0.031579569,0.173722506,0.050792433
-0.03430105,0.175669491,-0.035848059
-0.042051226,0.232314944,-0.068785012
-0.018885478,0.200032234,-0.012124032
0.057680398,0.146746516,0.082989216
0.112999439,-0.005109496,0.172226965
0.139510632,-0.187800884,0.167083085
0.156985164,-0.272973478,0.053371146
0.18375802,-0.285785735,-0.12089026
0.230214715,-0.141689539,-0.243959606
0.229336023,0.054019056,-0.244205654
0.158264399,0.308813334,-0.164036214
-0.024705634,0.477446079,-0.067786992
-0.213381112,0.438226879,0.014192775
-0.254709244,0.259229779,0.046489023
-0.091744483,0.016248539,0.01269386
0.250702083,-0.059117228,-0.098162234
0.523888052,-0.020720847,-0.222566724
0.559221208,0.081243098,-0.258159637
